sampleID_s2	seqID_s2	mouse_s2	day_s2	cage_s2	mouseID_s2	species_s2	sex_s2	age_s2	FMT_s2	FMT_type_s2	experiment_s2	group_s2	clinda35_s2	FMTID_s2	type_s2	survey_s2	human_group_s2	sampleID_s1	seqID_s1	mouse_s1	day_s1	cage_s1	mouseID_s1	species_s1	sex_s1	age_s1	FMT_s1	FMT_type_s1	experiment_s1	group_s1	clinda35_s1	FMTID_s1	type_s1	survey_s1	human_group_s1	label	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.074353	0.953413	0.000881	0.000613	0.00115	0.006733	28311
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.219284	0.959408	0.097815	0.090829	0.104801	0.069443	26053
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	8	0.064205	0.954424	0.013042	0.011331	0.014753	0.023325	26914
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	7	0.442072	0.953452	0.326249	0.312471	0.340028	0.146247	24211
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	6	0.341673	0.957885	0.014355	0.012617	0.016093	0.025787	38291
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	4	0.257509	0.959072	0.001246	0.000951	0.001541	0.007738	39688
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	4	0.455891	0.965073	0.100913	0.093926	0.107901	0.07326	37430
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	6	0.61931	0.959194	0.330148	0.316446	0.343849	0.150924	35588
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.958343	0.853277	0.951578	0.947394	0.955761	0.593408	26166
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	4	0.954576	0.857895	0.945679	0.94096	0.950399	0.59821	23908
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	8	0.944349	0.855027	0.947071	0.942515	0.951627	0.592183	22066
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	8	0.955751	0.854024	0.949283	0.94489	0.953675	0.593748	24769
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.754722	0.940727	0.762999	0.754187	0.771812	0.431212	26737
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	3	0.791355	0.940673	0.787199	0.779196	0.795201	0.419824	30837
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	7	0.781182	0.944093	0.775514	0.767035	0.783993	0.417775	29440
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	3	0.77494	0.946772	0.756189	0.747049	0.765329	0.425957	28579
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.441415	0.959305	0.101238	0.094244	0.108231	0.073345	36417
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	7	0.324159	0.952128	0.014502	0.012756	0.016248	0.025604	37278
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	9	0.608445	0.95811	0.330502	0.316805	0.344199	0.15086	34575
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	6	0.238319	0.955664	0.001288	0.000988	0.001589	0.007463	38675
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	8	0.438562	0.952201	0.240662	0.22669	0.254635	0.072068	29257
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	7	0.14418	0.948668	5e-06	-4e-06	1.4e-05	0.002477	31960
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.096022	0.949926	0.007154	0.005908	0.0084	0.009776	33357
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	6	0.252645	0.958341	0.042942	0.037492	0.048391	0.019118	31099
d1_1271_1	d1_1271_1	1271_1	1	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	5	0.25671	0.963789	4.6e-05	-2.3e-05	0.000115	0.001492	40571
d1_1271_1	d1_1271_1	1271_1	1	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.03	4	0.42834	0.967365	0.078291	0.071783	0.084799	0.042243	38313
