seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	Porphyromonadaceae_unclassified	Bacteroides	Alistipes	Bacteroidetes_unclassified	Bacteroidales_unclassified	Barnesiella	Lactobacillus	Lachnospiraceae_unclassified	Clostridiales_unclassified	Turicibacter	Clostridium_XI	Allobaculum	Ruminococcaceae_unclassified	Clostridium_XlVa	Oscillibacter	Firmicutes_unclassified	Clostridia_unclassified	Flavonifractor	Ruminococcus	Clostridium_XlVb	Blautia	Enterococcus	Escherichia/Shigella	Burkholderiales_unclassified	Desulfovibrionaceae_unclassified	Alphaproteobacteria_unclassified	Parasutterella	Bifidobacterium	Enterorhabdus	Olsenella	Akkermansia	Anaeroplasma	Bacteria_unclassified	other
d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.0198478332782005	0.00661594442606682	0	0	0	96.6854118425405	0	0.00661594442606682	0	2.9904068805822	0	0	0	0.00661594442606682	0	0	0	0	0	0	0	0.00661594442606682	0	0	0	0	0	0	0	0	0	0	0.277869665894826
d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0	0	0	0	0	78.2608695652174	0	0.0155557283969822	0	21.4046822742475	0	0	0.0155557283969822	0	0	0	0	0	0	0	0	0.132223691374349	0	0	0	0	0	0	0	0.0155557283969822	0	0	0.155557283969799
d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0218690771249453	0.0583175389998542	0	0	0	0	91.0263886863974	0	0.0145793847499636	0	8.65286484910337	0	0.0218690771249453	0	0	0	0	0.0145793847499636	0	0	0.0437381542498907	0	0	0	0	0	0	0.0145793847499636	0	0	0.00728969237498178	0	0	0.123924770374728
d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.444847934634589	0.0907852927825692	0	0	0	0	60.354062641852	0.0998638220608262	0	0	38.6109850204267	0	0.0181570585565138	0.00907852927825692	0	0	0	0	0	0	0	0	0.0544711756695415	0	0	0	0	0	0	0	0.0907852927825692	0	0.00907852927825692	0.217884702678177
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.121248863291907	0.0151561079114883	0.0151561079114883	0.0151561079114883	0	0	98.4692331009397	0.0303122158229767	0.0151561079114883	0.0303122158229767	0.719915125795696	0	0.00757805395574416	0	0	0	0	0	0	0.00757805395574416	0	0	0	0	0	0	0	0	0	0	0.0151561079114883	0	0.00757805395574416	0.530463776902067
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0651121149228828	0	0.00406950718268018	0.00406950718268018	0.00813901436536035	0	99.007040247426	0	0	0	0.443576282912139	0	0.00406950718268018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325560574614414	0	0	0.431367761364129
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	41.0551081350104	4.57877115193195	1.02253189756583	1.34829427201158	0.027146864537146	0.0452447742285766	4.85928875214913	8.35218532259524	1.85503574337164	0.0542937290742919	0.027146864537146	3.34811329291467	4.27110668717763	0.452447742285766	0.0633426839200072	0.371007148674328	0.180979096914306	0	1.17636412994299	0.180979096914306	0.0361958193828613	0	0	0.0361958193828613	0	0	0	0	0.687720568274364	0.968238168491539	23.5725273730884	0.0904895484571532	0.0452447742285766	1.29400054293731
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	65.8758427680957	0.661493448670653	0	4.84671161429844	0.0954077089428826	0	19.0688207607175	0.025442055718102	0	0.012721027859051	1.33570792520036	0.00636051392952551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343467752194377	0.0636051392952551	6.74850527922656	0	0	0.915914005851604
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.169779286926995	0.0169779286926995	0.0169779286926995	0	0	0	99.1086587436333	0.0212224108658744	0.00424448217317487	0.00424448217317487	0.437181663837012	0	0	0	0	0	0	0	0	0	0	0	0.00424448217317487	0.00424448217317487	0	0	0	0	0	0	0.00848896434634975	0	0.00848896434634975	0.19524617996602
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0877096809560355	0.0219274202390089	0	0	0	0.00548185505975222	90.9494572963491	0.0274092752987611	0.0438548404780178	0.0274092752987611	8.50235719767569	0	0	0	0.00548185505975222	0	0	0	0	0	0	0	0.00548185505975222	0	0	0	0	0	0	0	0.0274092752987611	0	0.0164455651792567	0.279574608047355
d1_1271_1	d1_1271_1	1271_1	1	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0196417347580138	0.0432118164676304	0.00785669390320553	0	0	0	96.2562853551226	0.0157133878064111	0	0.00392834695160277	3.48051539912005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157133878064111	0	0	0.157133878064073
d1_1271_2	d1_1271_2	1271_2	1	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.00637429882712902	0.0701172870984192	0.00637429882712902	0	0	0.00637429882712902	86.9964303926568	0.00637429882712902	0	0	12.6721060683325	0	0.00637429882712902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00637429882712902	0.223100458949503
d11_1203_1	d11_1203_1	1203_1	11	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.0610420754305646	0.00436014824504033	0	0	0	12.1212121212121	0.013080444735121	24.0113363854371	0	0	0	0.0305210377152823	0.00436014824504033	0	0.0436014824504033	0	0	0	0	0	0.00436014824504033	25.620231087857	0	0	0	0	0	0	0	37.9071288423806	0	0	0.178766078046706
d11_1203_2	d11_1203_2	1203_2	11	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0545464462990236	0.0436371570392189	0.0163639338897071	0	0	0	19.9912725685922	0.163639338897071	21.5131184203349	0	0	0	0.00545464462990236	0	0	0.0981836033382425	0	0	0	0	0	0.0109092892598047	24.4640811651121	0	0	0	0	0.00545464462990236	0	0	32.5751377297769	0.365461190203458	0.387279768723068	0.305460099274498
d11_1203_3	d11_1203_3	1203_3	11	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.027357909855687	0	0	0	0	24.1775528349634	0.191505368989809	25.9079406333356	0	0	0	0	0.0205184323917653	0	0.170986936598044	0	0	0	0	0.0136789549278435	0	20.9835168593119	0	0	0	0	0	0	0	24.4100950687367	1.8534983927228	2.05868271664045	0.184665891525995
d11_1203_4	d11_1203_4	1203_4	11	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.00494339809184834	0	0	0	0	15.2652133076277	0.0840377675614217	25.587028523407	0	0.00494339809184834	0	0	0	0	0.014830194275545	0	0	0	0	0	0	23.337782391616	0	0	0	0	0	0	0	33.6892579959464	0	1.70547234168768	0.306490681694555
d11_1207_1	d11_1207_1	1207_1	11	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.00545821734621473	0	0	0	0	14.1204082746575	0.0163746520386442	29.5180394083292	0	0	0	0	0	0	0.0927896948856504	0	0	0	0	0	0	18.2031548496261	0	0	0	0	0	0	0	34.4850171933846	0.10370612957808	3.25309753834398	0.201954041810026
d11_1207_2	d11_1207_2	1207_2	11	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.00512085210979107	0.0512085210979107	0	0	0	0	16.6478902089308	0.0307251126587464	30.7968045882835	0	0.0102417042195821	0	0	0.0102417042195821	0	0.107537894305612	0	0	0	0	0	0.071691929537075	24.0014338385907	0	0	0	0	0.0204834084391643	0	0	24.4264645637034	0	3.63068414584187	0.189471528062271
d11_1207_3	d11_1207_3	1207_3	11	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0	0.0753693096171239	0.00753693096171239	0	0	0	14.1129032258065	0.0263792583659934	23.454929152849	0	0.018842327404281	0	0.00753693096171239	0	0	0.0452215857702743	0	0.0037684654808562	0	0	0	0.0263792583659934	25.0678323786554	0	0	0	0	0	0	0	34.4814591498342	0.0414531202894181	2.51356647573108	0.116822429906449
d11_1207_4	d11_1207_4	1207_4	11	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0047796577765032	0.023898288882516	0	0	0	0	13.2731096453494	0	19.5010037281331	0	0	0	0.0047796577765032	0	0	0.138610075518593	0	0.0143389733295096	0	0	0	0	22.7224930694962	0	0	0	0	0	0	0	42.0705477487812	0	1.98833763502533	0.258101519931145
d11_1268_1	d11_1268_1	1268_1	11	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.056590632073829	0.00435312554414069	0	0.00435312554414069	0	0.00435312554414069	99.7039874629984	0.0174125021765628	0.00435312554414069	0.0261187532648442	0.0130593766324221	0	0.00870625108828139	0	0	0	0	0	0	0	0	0	0.00435312554414069	0.00435312554414069	0	0	0	0	0	0	0.0174125021765628	0	0.0261187532648442	0.104475013059414
d11_1268_2	d11_1268_2	1268_2	11	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0754716981132075	0.0030188679245283	0	0	0.0060377358490566	0	99.5381132075472	0.0120754716981132	0	0.00905660377358491	0.0120754716981132	0.0030188679245283	0.0060377358490566	0	0	0	0	0	0	0	0	0	0.0030188679245283	0.0030188679245283	0	0	0	0	0	0	0.0241509433962264	0	0.0483018867924528	0.256603773584871
d11_1269_1	d11_1269_1	1269_1	11	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0093984962406015	0.00469924812030075	0	0.00234962406015038	0	0	8.18139097744361	0.00469924812030075	5.06109022556391	0.00469924812030075	0	0	0	0	0	0.0399436090225564	0	0	0	0	0.00234962406015038	0	31.5296052631579	0	0	0	0	0.00234962406015038	0	0	54.234022556391	0.0234962406015038	0.782424812030075	0.117481203007486
d11_1269_2	d11_1269_2	1269_2	11	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0399201596806387	0	0	0	0.00307078151389529	0.0122831260555811	22.9571625978812	0	4.87640104406571	0.00307078151389529	0	0	0.00614156302779057	0	0	0.0276370336250576	0	0	0	0	0	0	21.8516812528789	0.00307078151389529	0	0	0	0	0	0	48.3985874405036	0.0122831260555811	1.59066482419776	0.2180254874865
d11_1270_1	d11_1270_1	1270_1	11	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0239143864963431	0.0179357898722573	0	0.00199286554136192	0	0	24.7772972757528	0	0.00597859662408577	3.14673468981048	0	0	0	0	0.00199286554136192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.9823033539927	0	0	0.0418501763685981
d11_1270_2	d11_1270_2	1270_2	11	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0181433323253704	0.0665255518596916	0	0	0	0.0120955548835803	25.6365285757484	0.00604777744179014	0	0.0725733293014817	0.0604777744179014	0	0	0	0	0	0	0	0	0	0	0	0.0241911097671606	0	0	0	0	0	0	0	73.9461747807681	0	0.00604777744179014	0.151194436044733
d11_1271_1	d11_1271_1	1271_1	11	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0782676754500391	0.00372703216428758	0.00372703216428758	0	0	0.0149081286571503	42.8795050501286	0.0111810964928627	0	0.0559054824643137	0	0	0	0.00745406432857516	0	0	0	0	0	0	0	0	0	0.00372703216428758	0	0	0	0	0	0	56.8670567626999	0	0	0.0745406432856868
d11_1271_2	d11_1271_2	1271_2	11	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.167141873955363	0.0131091665847344	0.00327729164618359	0.00655458329236719	0	0	52.8332186281257	0.0196637498771016	0	0.101596041031691	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327729164618359	0	0	0	0	0	0	46.786615540917	0	0	0.0655458329236751
