taxlevel	rankID	taxon	daughterlevels	total	d11_1203_1	d11_1203_2	d11_1203_3	d11_1203_4	d11_1207_1	d11_1207_2	d11_1207_3	d11_1207_4	d11_1268_1	d11_1268_2	d11_1269_1	d11_1269_2	d11_1270_1	d11_1270_2	d11_1271_1	d11_1271_2	d19_1203_1	d19_1203_2	d19_1203_3	d19_1203_4	d19_1207_1	d19_1207_2A	d19_1207_2B	d19_1207_3	d19_1207_4	d19_1268_1	d19_1268_2	d19_1268_3	d19_1269_1	d19_1269_2	d19_1269_3	d19_1270_1	d19_1270_2	d19_1270_3	d19_1271_1	d19_1271_2	d19_1271_3	d1_1203_1	d1_1203_2	d1_1207_1	d1_1207_2	d1_1268_1	d1_1268_2	d1_1269_2	d1_1269_3	d1_1270_1	d1_1270_2	d1_1271_1	d1_1271_2	d4_1203_2	d4_1203_3	d4_1203_4	d4_1207_1	d4_1207_2	d4_1207_3	d4_1268_3	d4_1269_1	d4_1269_2	d4_1270_1	d4_1270_2	d4_1271_1	d4_1271_3	dn7_1203_1	dn7_1207_1	dn7_1268_1	dn7_1269_1	dn7_1269_2	dn7_1270_1	dn7_1270_2	dn7_1271_1	dn7_1271_2	dn7_1271_3
2	01_Bacteroidetes	Bacteroidetes	3	582785	16	21	6	21	6	11	22	19	19	49	22	18	22	17	27	58	8981	9860	8112	9605	10331	19	7515	16018	10740	62026	26071	17616	17775	20105	10357	30065	18839	22048	23541	12801	14794	24	1	13	67	32	31	5323	11373	51	22	23	17	5753	5335	5071	12160	13771	12540	38	12406	13675	24	31	36	11	5459	9609	14631	11671	11822	12521	12134	16072	22465	11000
2	02_Firmicutes	Firmicutes	5	681358	8341	7715	7406	8315	8037	9338	10029	6924	22940	33007	5689	9110	14034	4272	11534	16167	2373	1267	4633	2513	3444	13320	3971	3831	3088	11270	14288	6033	12212	11448	9037	4996	6058	11986	10481	12084	9576	15086	12833	13697	10931	13141	24510	2875	3221	23477	18171	25415	15657	4334	3997	3772	838	2723	6456	6657	3568	3844	8026	4165	21112	19572	6049	6262	11716	6007	8010	6858	6031	5769	9016	6795
2	03_Proteobacteria	Proteobacteria	6	97476	5878	4486	3068	4724	3344	4696	6657	4754	2	3	13420	7121	0	4	1	3	1545	1794	3821	3128	1050	1	13	5	1150	69	27	5	678	1037	1487	844	910	50	4043	2507	1713	1	21	1	6	3	1	7	2	4	16	1	5	3411	3484	4376	831	891	23	10	221	28	6	0	3	5	54	3	4	3	3	3	1	5	4	1
2	04_Actinobacteria	Actinobacteria	1	13402	0	1	0	1	1	4	0	4	0	6	1	1	0	0	1	2	0	144	747	1014	5	0	80	42	647	640	1176	408	211	265	82	505	288	173	254	171	139	0	0	6	0	2	0	225	64	6	4	1	0	28	35	13	771	300	1121	172	659	493	0	0	0	0	52	50	345	354	185	89	108	257	707	342
2	05_Verrucomicrobia	Verrucomicrobia	1	271483	8694	5972	3569	6815	6318	4770	9150	8802	4	8	23082	15761	36120	12227	15258	14276	985	1126	3485	5067	2492	1	4903	3731	1984	295	1097	671	2580	5230	1256	965	10469	231	3986	3709	2867	0	2	1	10	2	8	2605	1061	2	5	4	0	3199	5823	5887	1273	2209	795	0	2664	1317	9322	6207	0	0	1	7	10	14	30	13	51	102	341	562
2	06_Fusobacteria	Fusobacteria	1	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	07_Tenericutes	Tenericutes	1	5866	0	67	271	0	19	0	11	0	0	0	10	4	0	0	0	0	0	0	800	540	0	0	0	0	1798	0	0	0	168	169	37	0	1	0	281	863	181	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	4	0	0	0	8	23	0	0	0	0	3	0	334	0	6	102	25	5	92	29
2	08_Synergistetes	Synergistetes	1	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	11_Unclassified	Bacteria_unclassified	1	11920	0	71	301	345	596	709	667	416	6	16	333	518	0	1	0	0	2	43	10	5	10	2	0	657	148	329	149	156	90	206	147	0	6	67	210	293	109	0	0	0	1	1	0	5	0	2	3	0	1	0	1	1	6	1	166	0	29	30	0	7	1	0	132	1008	633	236	537	502	472	465	743	319
2	20_Candidatus_Saccharibacteria	Candidatus_Saccharibacteria	1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	2	0	0	0	33	13	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
