seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	Bacteroidetes	Firmicutes	Proteobacteria	Actinobacteria	Verrucomicrobia	Tenericutes	Bacteria_unclassified
d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.158782666225604	99.8081376116441	0.00661594442606682	0	0	0	0
d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.00777786419849109	99.8133312592362	0.163335148168313	0	0.0155557283969822	0	0
d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0947660008747631	99.8469164601254	0.00728969237498178	0.0437381542498907	0.00728969237498178	0	0
d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.608261461643214	99.2374035406264	0.0544711756695415	0	0.0907852927825692	0	0.00907852927825692
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.242497726583813	99.5832070324341	0.0227341618672325	0.0151561079114883	0.0151561079114883	0	0.00757805395574416
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.126154722663086	99.7436210474911	0.00406950718268018	0	0.0325560574614414	0	0
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	48.1675866437427	26.0157451814315	0.0633426839200072	2.03601484028595	23.5725273730884	0.0904895484571532	0.0452447742285766
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	72.3381249204936	20.4872153670017	0.012721027859051	0.407072891489632	6.74850527922656	0	0
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.216468590831918	99.6477079796265	0.0169779286926995	0.0254668930390492	0.00848896434634975	0	0.00848896434634975
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.120600811314549	99.6107882907576	0.0877096809560355	0.0219274202390089	0.0274092752987611	0	0.0164455651792567
d1_1271_1	d1_1271_1	1271_1	1	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0903519798868636	99.8389377749843	0.00392834695160277	0.00392834695160277	0.0157133878064111	0	0
d1_1271_2	d1_1271_2	1271_2	1	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.108363080061193	99.802396736359	0.0318714941356451	0	0	0	0.00637429882712902
d11_1203_1	d11_1203_1	1203_1	11	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0697623719206453	36.3679965118814	25.6289513843471	0	37.9071288423806	0	0
d11_1203_2	d11_1203_2	1203_2	11	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.11454753722795	42.0825833196967	24.469535809742	0.00545464462990236	32.5751377297769	0.365461190203458	0.387279768723068
d11_1203_3	d11_1203_3	1203_3	11	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0410368647835305	50.6531700978045	20.9835168593119	0	24.4100950687367	1.8534983927228	2.05868271664045
d11_1203_4	d11_1203_4	1203_4	11	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.103811359928815	41.1043551337189	23.3526125858915	0.00494339809184834	33.6892579959464	0	1.70547234168768
d11_1207_1	d11_1207_1	1207_1	11	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0327493040772884	43.8676928115278	18.252278805742	0.00545821734621473	34.4850171933846	0.10370612957808	3.25309753834398
d11_1207_2	d11_1207_2	1207_2	11	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0563293732077018	47.818517001229	24.0475215075789	0.0204834084391643	24.4264645637034	0	3.63068414584187
d11_1207_3	d11_1207_3	1207_3	11	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0829062405788363	37.7939403075068	25.0866747060597	0	34.4814591498342	0.0414531202894181	2.51356647573108
d11_1207_4	d11_1207_4	1207_4	11	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.0908134977535608	33.0943504445082	22.7224930694962	0.0191186311060128	42.0705477487812	0	1.98833763502533
d11_1268_1	d11_1268_1	1268_1	11	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0827093853386732	99.8606999825875	0.00870625108828139	0	0.0174125021765628	0	0.0261187532648442
d11_1268_2	d11_1268_2	1268_2	11	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.147924528301887	99.6437735849057	0.00905660377358491	0.0181132075471698	0.0241509433962264	0	0.0483018867924528
d11_1269_1	d11_1269_1	1269_1	11	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0516917293233083	13.3670112781955	31.531954887218	0.00234962406015038	54.234022556391	0.0234962406015038	0.782424812030075
d11_1269_2	d11_1269_2	1269_2	11	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.0552740672501152	27.9748195915861	21.8670351604483	0.00307078151389529	48.3985874405036	0.0122831260555811	1.59066482419776
d11_1270_1	d11_1270_1	1270_1	11	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.0438430419099623	27.9678750074732	0	0	71.9823033539927	0	0
d11_1270_2	d11_1270_2	1270_2	11	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.102812216510432	25.8361052313275	0.0241911097671606	0	73.9461747807681	0	0.00604777744179014
d11_1271_1	d11_1271_1	1271_1	11	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.100629868435765	42.9875889828929	0.00372703216428758	0.00372703216428758	56.8670567626999	0	0
d11_1271_2	d11_1271_2	1271_2	11	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.190082915478648	52.9839740438502	0.00983187493855078	0.00655458329236719	46.786615540917	0	0
d19_1203_1	d19_1203_1	1203_1	19	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	64.6673387096774	17.0866935483871	11.1247119815668	0	7.09245391705069	0	0.0144009216589862
d19_1203_2	d19_1203_2	1203_2	19	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	69.2707601517493	8.90122242517915	12.6036251229451	1.01166221722636	7.91063650414501	0	0.302093578755093
d19_1203_3	d19_1203_3	1203_3	19	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	37.5416512402814	21.4411329137357	17.6832654572381	3.45705294335431	16.1282858200666	3.70233246945576	0.046279155868197
d19_1203_4	d19_1203_4	1203_4	19	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	43.9145940014631	11.4895757132407	14.3013899049012	4.63606437454279	23.1666057059254	2.46891002194587	0.0228602779809802
d19_1207_1	d19_1207_1	1207_1	19	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	59.6065081929379	19.8707592891761	6.05815831987076	0.0288483729517655	14.3780290791599	0	0.057696745903531
d19_1207_3	d19_1207_3	1207_3	19	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	65.9611266677648	15.7758194696096	0.0205896886839071	0.17295338494482	15.3640256959315	0	2.70548509306539
d19_1207_4	d19_1207_4	1207_4	19	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	54.9220148299668	15.7913577090258	5.88084888775249	3.30861672206597	10.1457427767834	9.19457939145999	0.756839682945538
d19_1268_1	d19_1268_1	1268_1	19	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	83.1124629835587	15.1013681008723	0.0924573557196264	0.857575473341462	0.39528869474333	0	0.440847391764596
