seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	tyc_pcoa_axis1	tyc_pcoa_axis2	tyc_pcoa_axis3	bc_pcoa_axis1	bc_pcoa_axis2	bc_pcoa_axis3	jac_pcoa_axis1	jac_pcoa_axis2	jac_pcoa_axis3	jest_pcoa_axis1	jest_pcoa_axis2	jest_pcoa_axis3	tyc_nmds_axis1	tyc_nmds_axis2	tyc_nmds_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs
d1_1203_1	d1_1203_1	1203_1	1	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.439515	-0.364172	-0.038958	-0.483669	-0.302041	-0.063048	-0.249783	-0.091252	-0.12504	-0.202925	-0.127166	-0.060244	-0.275291	0.48082	-0.171501	0.059325	0.936462	0.931155	0.941769	1.067849	1.061831	1.073936	0.160772	0.14905	0.172495	0.16507	18	36	21.984991	99.305086	15115
d1_1203_2	d1_1203_2	1203_2	1	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.443284	-0.360999	-0.039495	-0.465149	-0.268338	-0.061649	-0.28828	-0.116119	-0.106317	-0.293851	-0.142103	-0.041606	-0.260721	0.45106	-0.235706	0.116814	0.658512	0.650391	0.666633	1.518576	1.500076	1.537538	0.545913	0.534376	0.557449	0.548809	13	16.333333	13.503451	35.06988	12857
d1_1207_1	d1_1207_1	1207_1	1	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.442866	-0.363153	-0.039442	-0.482607	-0.29127	-0.064519	-0.264835	-0.032063	-0.049652	-0.300029	-0.074393	-0.018393	-0.27007	0.472802	-0.186674	0.052008	0.835994	0.828116	0.843871	1.196182	1.185016	1.20756	0.32713	0.313348	0.340912	0.332402	23	26.5	23.697263	40.568701	13718
d1_1207_2	d1_1207_2	1207_2	1	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.409063	-0.349251	-0.033775	-0.400673	-0.205518	-0.048726	-0.272486	-0.048098	-0.100594	-0.28398	-0.097295	-0.046941	-0.258664	0.387182	-0.36282	0.08855	0.513321	0.508945	0.517696	1.948099	1.931634	1.964847	0.74195	0.729542	0.754358	0.746848	22	26.2	22.789764	44.335782	11015
d1_1268_1	d1_1268_1	1268_1	1	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.437986	-0.364264	-0.03862	-0.480014	-0.292936	-0.055532	-0.206412	0.238148	0.034472	-0.216533	0.274011	0.077627	-0.277112	0.483475	-0.16624	0.032193	0.970719	0.966698	0.974739	1.030165	1.025916	1.034449	0.109121	0.095567	0.122675	0.116951	32	37	33.215104	52.574366	13196
d1_1268_2	d1_1268_2	1268_2	1	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.437708	-0.364362	-0.038548	-0.447069	-0.326014	-0.06266	-0.218663	0.332755	0.00046	-0.18856	0.388436	0.062595	-0.277576	0.484097	-0.165213	0.040762	0.98131	0.978938	0.983682	1.019046	1.016588	1.021515	0.071149	0.063045	0.079253	0.074824	25	34.166667	27.29218	61.658448	24573
d1_1269_2	d1_1269_2	1269_2	1	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.12715	0.290178	0.179538	0.286791	0.032323	0.092476	0.305188	0.06116	0.127151	0.300265	0.028114	0.146076	0.353007	-0.303881	0.016152	0.097388	0.081494	0.078242	0.084745	12.270876	11.800067	12.780816	3.230444	3.203778	3.257111	3.240282	126	143.272727	131.893274	176.625021	11051
d1_1269_3	d1_1269_3	1269_3	1	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.031122	-0.124825	0.189375	0.111729	-0.102923	0.064452	-0.100787	0.319951	0.131608	-0.084554	0.278867	0.117435	-0.176759	-0.143982	-0.424871	0.215392	0.119044	0.117174	0.120913	8.40028	8.270406	8.534298	2.385701	2.371228	2.400175	2.389383	39	46.5	40.773815	70.711318	15722
d1_1270_1	d1_1270_1	1270_1	1	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.43756	-0.36453	-0.038589	-0.450328	-0.326501	-0.063014	-0.235312	0.304794	0.005438	-0.233676	0.305188	0.066543	-0.277748	0.484133	-0.165077	0.031789	0.98303	0.980718	0.985341	1.017263	1.014877	1.019661	0.067454	0.059111	0.075796	0.071867	32	38.875	33.709308	59.651911	23560
d1_1270_2	d1_1270_2	1270_2	1	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.442875	-0.362945	-0.039427	-0.479844	-0.319858	-0.069186	-0.242358	0.157866	-0.039182	-0.231727	0.172966	-0.064608	-0.269922	0.472765	-0.186586	0.034225	0.834801	0.827933	0.841669	1.19789	1.188116	1.207827	0.339683	0.326845	0.352522	0.34616	35	52.5	40.118074	94.836961	18242
d1_1271_1	d1_1271_1	1271_1	1	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.439789	-0.364054	-0.039119	-0.451468	-0.329318	-0.070249	-0.24987	0.081504	-0.110971	-0.221274	0.02653	-0.015545	-0.274828	0.480172	-0.172633	0.046827	0.928482	0.924186	0.932778	1.077027	1.072066	1.082034	0.173751	0.164662	0.18284	0.176635	23	25.625	23.469808	37.666883	25456
d1_1271_2	d1_1271_2	1271_2	1	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.444072	-0.362666	-0.039898	-0.483626	-0.306055	-0.0674	-0.2251	0.057786	-0.154986	-0.20151	0.028312	-0.081228	-0.26694	0.466633	-0.198701	0.064616	0.773801	0.765988	0.781613	1.292323	1.279405	1.305504	0.407614	0.395429	0.419799	0.41186	20	24.666667	20.954004	42.82777	15688
d11_1203_1	d11_1203_1	1203_1	11	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.169747	0.465416	-0.019985	-0.171167	0.462711	0.074539	-0.25599	-0.231604	-0.015848	-0.287642	-0.262921	-0.023103	0.489042	0.188838	0.123899	0.137016	0.280707	0.278415	0.282999	3.562428	3.533576	3.591755	1.358449	1.35084	1.366059	1.361473	26	35	28.130414	64.020786	22935
d11_1203_2	d11_1203_2	1203_2	11	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.226919	0.390401	-0.027592	-0.197348	0.42106	0.043775	-0.239658	-0.160585	0.066898	-0.250433	-0.134247	0.030603	0.429276	0.234506	0.104185	0.129991	0.248157	0.246262	0.250052	4.029714	3.999175	4.060723	1.494017	1.483721	1.504312	1.497566	31	33.333333	31.409807	44.285377	18333
d11_1203_3	d11_1203_3	1203_3	11	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.259076	0.297587	-0.030957	-0.184151	0.36921	-0.00301	-0.272003	-0.29706	-0.031638	-0.280204	-0.261798	-0.072243	0.370019	0.309685	0.124013	0.153141	0.22517	0.22344	0.2269	4.441086	4.407231	4.475465	1.608459	1.596291	1.620627	1.613207	29	38.166667	31.29218	65.658448	14621
d11_1203_4	d11_1203_4	1203_4	11	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.192999	0.426367	-0.018948	-0.178777	0.44525	0.056397	-0.269929	-0.253737	-0.020093	-0.2905	-0.239598	-0.049105	0.460327	0.216387	0.125661	0.142844	0.250024	0.24785	0.252197	3.99962	3.965149	4.034696	1.51306	1.502814	1.523306	1.516201	28	39.25	30.652158	75.72057	20229
d11_1207_1	d11_1207_1	1207_1	11	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.188114	0.438958	-0.001955	-0.158055	0.4504	0.046765	-0.262737	-0.290398	-0.007438	-0.286529	-0.260624	-0.053631	0.464856	0.200742	0.109313	0.133651	0.226732	0.22383	0.229635	4.410491	4.354745	4.467682	1.684274	1.671696	1.696852	1.68762	33	37	33.807967	52.802788	18321
d11_1207_2	d11_1207_2	1207_2	11	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.195484	0.353288	-0.029485	-0.17606	0.41464	0.031691	-0.284578	-0.27611	0.003414	-0.30317	-0.283593	-0.032778	0.432294	0.280536	0.192384	0.131796	0.237108	0.235237	0.23898	4.217482	4.184457	4.251032	1.551908	1.541767	1.562049	1.555378	32	37.142857	33.129558	55.415337	19528
