d1_1203_1	d1-1203-1_S148_L001_R1_001.fastq	d1-1203-1_S148_L001_R2_001.fastq
d1_1203_2	d1-1203-2_S122_L001_R1_001.fastq	d1-1203-2_S122_L001_R2_001.fastq
d1_1207_1	d1-1207-1_S47_L001_R1_001.fastq	d1-1207-1_S47_L001_R2_001.fastq
d1_1207_2	d1-1207-2_S146_L001_R1_001.fastq	d1-1207-2_S146_L001_R2_001.fastq
d1_1268_1	d1-1268-1_S196_L001_R1_001.fastq	d1-1268-1_S196_L001_R2_001.fastq
d1_1268_2	d1-1268-2_S197_L001_R1_001.fastq	d1-1268-2_S197_L001_R2_001.fastq
d1_1269_2	d1-1269-2_S264_L001_R1_001.fastq	d1-1269-2_S264_L001_R2_001.fastq
d1_1269_3	d1-1269-3_S193_L001_R1_001.fastq	d1-1269-3_S193_L001_R2_001.fastq
d1_1270_1	d1-1270-1_S259_L001_R1_001.fastq	d1-1270-1_S259_L001_R2_001.fastq
d1_1270_2	d1-1270-2_S260_L001_R1_001.fastq	d1-1270-2_S260_L001_R2_001.fastq
d1_1271_1	d1-1271-1_S262_L001_R1_001.fastq	d1-1271-1_S262_L001_R2_001.fastq
d1_1271_2	d1-1271-2_S261_L001_R1_001.fastq	d1-1271-2_S261_L001_R2_001.fastq
d11_1203_1	d11-1203-1_S98_L001_R1_001.fastq	d11-1203-1_S98_L001_R2_001.fastq
d11_1203_2	d11-1203-2_S190_L001_R1_001.fastq	d11-1203-2_S190_L001_R2_001.fastq
d11_1203_3	d11-1203-3_S184_L001_R1_001.fastq	d11-1203-3_S184_L001_R2_001.fastq
d11_1203_4	d11-1203-4_S121_L001_R1_001.fastq	d11-1203-4_S121_L001_R2_001.fastq
d11_1207_1	d11-1207-1_S39_L001_R1_001.fastq	d11-1207-1_S39_L001_R2_001.fastq
d11_1207_2	d11-1207-2_S153_L001_R1_001.fastq	d11-1207-2_S153_L001_R2_001.fastq
d11_1207_3	d11-1207-3_S70_L001_R1_001.fastq	d11-1207-3_S70_L001_R2_001.fastq
d11_1207_4	d11-1207-4_S135_L001_R1_001.fastq	d11-1207-4_S135_L001_R2_001.fastq
d11_1268_1	d11-1268-1_S211_L001_R1_001.fastq	d11-1268-1_S211_L001_R2_001.fastq
d11_1268_2	d11-1268-2_S210_L001_R1_001.fastq	d11-1268-2_S210_L001_R2_001.fastq
d11_1269_1	d11-1269-1_S15_L001_R1_001.fastq	d11-1269-1_S15_L001_R2_001.fastq
d11_1269_2	d11-1269-2_S209_L001_R1_001.fastq	d11-1269-2_S209_L001_R2_001.fastq
d11_1270_1	d11-1270-1_S218_L001_R1_001.fastq	d11-1270-1_S218_L001_R2_001.fastq
d11_1270_2	d11-1270-2_S219_L001_R1_001.fastq	d11-1270-2_S219_L001_R2_001.fastq
d11_1271_1	d11-1271-1_S212_L001_R1_001.fastq	d11-1271-1_S212_L001_R2_001.fastq
d11_1271_2	d11-1271-2_S213_L001_R1_001.fastq	d11-1271-2_S213_L001_R2_001.fastq
d19_1203_1	d19-1203-1_S290_L001_R1_001.fastq	d19-1203-1_S290_L001_R2_001.fastq
d19_1203_2	d19-1203-2_S289_L001_R1_001.fastq	d19-1203-2_S289_L001_R2_001.fastq
d19_1203_3	d19-1203-3_S223_L001_R1_001.fastq	d19-1203-3_S223_L001_R2_001.fastq
d19_1203_4	d19-1203-4_S238_L001_R1_001.fastq	d19-1203-4_S238_L001_R2_001.fastq
d19_1207_1	d19-1207-1_S316_L001_R1_001.fastq	d19-1207-1_S316_L001_R2_001.fastq
d19_1207_2A	d19-1207-2A_S315_L001_R1_001.fastq	d19-1207-2A_S315_L001_R2_001.fastq
d19_1207_2B	d19-1207-2B_S375_L001_R1_001.fastq	d19-1207-2B_S375_L001_R2_001.fastq
d19_1207_3	d19-1207-3_S326_L001_R1_001.fastq	d19-1207-3_S326_L001_R2_001.fastq
d19_1207_4	d19-1207-4_S256_L001_R1_001.fastq	d19-1207-4_S256_L001_R2_001.fastq
d19_1268_1	d19-1268-1_S239_L001_R1_001.fastq	d19-1268-1_S239_L001_R2_001.fastq
d19_1268_2	d19-1268-2_S240_L001_R1_001.fastq	d19-1268-2_S240_L001_R2_001.fastq
d19_1268_3	d19-1268-3_S265_L001_R1_001.fastq	d19-1268-3_S265_L001_R2_001.fastq
d19_1269_1	d19-1269-1_S269_L001_R1_001.fastq	d19-1269-1_S269_L001_R2_001.fastq
d19_1269_2	d19-1269-2_S270_L001_R1_001.fastq	d19-1269-2_S270_L001_R2_001.fastq
d19_1269_3	d19-1269-3_S271_L001_R1_001.fastq	d19-1269-3_S271_L001_R2_001.fastq
d19_1270_1	d19-1270-1_S266_L001_R1_001.fastq	d19-1270-1_S266_L001_R2_001.fastq
d19_1270_2	d19-1270-2_S267_L001_R1_001.fastq	d19-1270-2_S267_L001_R2_001.fastq
d19_1270_3	d19-1270-3_S268_L001_R1_001.fastq	d19-1270-3_S268_L001_R2_001.fastq
d19_1271_1	d19-1271-1_S272_L001_R1_001.fastq	d19-1271-1_S272_L001_R2_001.fastq
d19_1271_2	d19-1271-2_S273_L001_R1_001.fastq	d19-1271-2_S273_L001_R2_001.fastq
d19_1271_3	d19-1271-3_S274_L001_R1_001.fastq	d19-1271-3_S274_L001_R2_001.fastq
d4_1203_2	d4-1203-2_S147_L001_R1_001.fastq	d4-1203-2_S147_L001_R2_001.fastq
d4_1203_3	d4-1203-3_S66_L001_R1_001.fastq	d4-1203-3_S66_L001_R2_001.fastq
d4_1203_4	d4-1203-4_S67_L001_R1_001.fastq	d4-1203-4_S67_L001_R2_001.fastq
d4_1207_1	d4-1207-1_S154_L001_R1_001.fastq	d4-1207-1_S154_L001_R2_001.fastq
d4_1207_2	d4-1207-2_S162_L001_R1_001.fastq	d4-1207-2_S162_L001_R2_001.fastq
d4_1207_3	d4-1207-3_S112_L001_R1_001.fastq	d4-1207-3_S112_L001_R2_001.fastq
d4_1268_3	d4-1268-3_S203_L001_R1_001.fastq	d4-1268-3_S203_L001_R2_001.fastq
d4_1269_1	d4-1269-1_S201_L001_R1_001.fastq	d4-1269-1_S201_L001_R2_001.fastq
d4_1269_2	d4-1269-2_S202_L001_R1_001.fastq	d4-1269-2_S202_L001_R2_001.fastq
d4_1270_1	d4-1270-1_S199_L001_R1_001.fastq	d4-1270-1_S199_L001_R2_001.fastq
d4_1270_2	d4-1270-2_S200_L001_R1_001.fastq	d4-1270-2_S200_L001_R2_001.fastq
d4_1271_1	d4-1271-1_S198_L001_R1_001.fastq	d4-1271-1_S198_L001_R2_001.fastq
d4_1271_3	d4-1271-3_S12_L001_R1_001.fastq	d4-1271-3_S12_L001_R2_001.fastq
dn7_1203_1	dn7-1203-1_S156_L001_R1_001.fastq	dn7-1203-1_S156_L001_R2_001.fastq
dn7_1207_1	dn7-1207-1_S113_L001_R1_001.fastq	dn7-1207-1_S113_L001_R2_001.fastq
dn7_1268_1	dn7-1268-1_S244_L001_R1_001.fastq	dn7-1268-1_S244_L001_R2_001.fastq
dn7_1269_1	dn7-1269-1_S245_L001_R1_001.fastq	dn7-1269-1_S245_L001_R2_001.fastq
dn7_1269_2	dn7-1269-2_S246_L001_R1_001.fastq	dn7-1269-2_S246_L001_R2_001.fastq
dn7_1270_1	dn7-1270-1_S247_L001_R1_001.fastq	dn7-1270-1_S247_L001_R2_001.fastq
dn7_1270_2	dn7-1270-2_S248_L001_R1_001.fastq	dn7-1270-2_S248_L001_R2_001.fastq
dn7_1271_1	dn7-1271-1_S241_L001_R1_001.fastq	dn7-1271-1_S241_L001_R2_001.fastq
dn7_1271_2	dn7-1271-2_S242_L001_R1_001.fastq	dn7-1271-2_S242_L001_R2_001.fastq
dn7_1271_3	dn7-1271-3_S243_L001_R1_001.fastq	dn7-1271-3_S243_L001_R2_001.fastq
