label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1203_1	d11_1203_2	10	0.165697	0.956992	0.032925	0.027089	0.03876	0.01109	41268
0.03	d11_1203_1	d11_1203_3	10	0.295346	0.959282	0.128281	0.116096	0.140465	0.03438	37556
0.03	d11_1203_2	d11_1203_3	13	0.141652	0.960738	0.049879	0.040726	0.059032	0.013362	32954
0.03	d11_1203_1	d11_1203_4	10	0.106014	0.96042	0.013633	0.010049	0.017216	0.013149	43164
0.03	d11_1203_2	d11_1203_4	12	0.087651	0.959375	0.012661	0.008948	0.016374	0.012074	38562
0.03	d11_1203_3	d11_1203_4	12	0.206026	0.961727	0.069017	0.058891	0.079143	0.021207	34850
0.03	d11_1203_1	d11_1207_1	10	0.204479	0.954664	0.043655	0.038778	0.048533	0.040961	41256
0.03	d11_1203_2	d11_1207_1	12	0.130518	0.953636	0.044663	0.038639	0.050687	0.040094	36654
0.03	d11_1203_3	d11_1207_1	15	0.18991	0.962944	0.102466	0.090635	0.114297	0.04622	32942
0.03	d11_1203_4	d11_1207_1	15	0.131206	0.964082	0.02786	0.023829	0.03189	0.034657	38550
0.03	d11_1203_1	d11_1207_2	13	0.162942	0.962732	0.094939	0.08449	0.105387	0.02653	42463
0.03	d11_1203_2	d11_1207_2	15	0.125644	0.961845	0.06536	0.055768	0.074952	0.020622	37861
0.03	d11_1203_3	d11_1207_2	16	0.179888	0.966419	0.036189	0.028842	0.043535	0.015956	34149
0.03	d11_1203_4	d11_1207_2	13	0.103051	0.960549	0.051499	0.042705	0.060293	0.014856	39757
0.03	d11_1207_1	d11_1207_2	16	0.187614	0.961828	0.094993	0.083864	0.106121	0.033222	37849
0.03	d11_1203_1	d11_1207_3	10	0.115199	0.954616	0.036861	0.032764	0.040959	0.035657	49471
0.03	d11_1203_2	d11_1207_3	12	0.196907	0.953586	0.032588	0.028053	0.037123	0.03461	44869
0.03	d11_1203_3	d11_1207_3	12	0.311029	0.955917	0.127187	0.115138	0.139237	0.048712	41157
0.03	d11_1203_4	d11_1207_3	12	0.166684	0.956943	0.035605	0.03058	0.04063	0.033309	46765
0.03	d11_1207_1	d11_1207_3	21	0.186481	0.97232	0.033159	0.026944	0.039374	0.006565	44857
0.03	d11_1207_2	d11_1207_3	16	0.225208	0.961884	0.123273	0.112009	0.134538	0.034936	46064
0.03	d11_1203_1	d11_1207_4	8	0.100622	0.943148	0.030795	0.025082	0.036509	0.02227	43857
0.03	d11_1203_2	d11_1207_4	12	0.142479	0.946608	0.060248	0.051068	0.069428	0.02467	39255
0.03	d11_1203_3	d11_1207_4	10	0.254649	0.944385	0.187811	0.172818	0.202804	0.042795	35543
0.03	d11_1203_4	d11_1207_4	12	0.107336	0.950197	0.050818	0.042359	0.059277	0.013831	41151
0.03	d11_1207_1	d11_1207_4	14	0.164743	0.948956	0.058044	0.050163	0.065925	0.03544	39243
0.03	d11_1207_2	d11_1207_4	11	0.202027	0.943219	0.184066	0.170076	0.198056	0.03689	40450
0.03	d11_1207_3	d11_1207_4	13	0.138438	0.946726	0.036934	0.030848	0.043019	0.029844	47458
0.03	d11_1203_1	d11_1268_1	8	0.882371	0.953182	0.898979	0.894915	0.903043	0.504153	45907
0.03	d11_1203_2	d11_1268_1	9	0.831546	0.949676	0.821009	0.814572	0.827446	0.43124	41305
